Symbol,Description,Market Cap,Last,%Change,Volume,Gross Profit Margin - Current (Annual),Free Cash Flow Per Share - Current (Annual),Return on Equity (ROE) - Current (Annual),PE,EPS,Vol Index,IV_Percentile,HV_Percentile
ESS,ESSEX PROPERTY TRUST INC COM USD0.0001,"22,731 M",349.235,0.49%,"37,991",46.202,-$5.43,9.3098,50.76,6.88,24.17%,33.69,8
EFX,EQUIFAX INC COM,"35,235 M",288.81,-0.62%,"162,960",48.434,$2.33,18.1,51.12,5.65,29.22%,33.72,39
GNRC,GENERAC HLDGS INC COM,"26,587 M",421.415,-1.22%,"105,841",37.235,$6.36,28.941,51.14,8.24,39.70%,25.14,27
XYL,XYLEM INC COM,"23,523 M",130.45,0.22%,"84,534",37.531,$1.35,8.5738,51.16,2.55,25.63%,22.93,40
FISV,FISERV INC COM,"65,752 M",99.59,-1.28%,"1,167,130",47.401,$5.06,2.9338,51.6,1.93,30.13%,34.57,88
SYK,STRYKER CORP COM,"97,796 M",259.24,-1.08%,"191,338",60.525,$4.03,12.352,52.16,4.97,26.79%,39.51,16
VRSK,VERISK ANALYTICS INC COM,"36,310 M",225.3,0.36%,"147,410",51.447,$4.38,28.744,52.64,4.28,19.57%,7.24,18
FANG,DIAMONDBACK ENERGY INC COM,"19,372 M",106.925,-0.29%,"461,611",22.894,-$1.64,-40.984,53.46,2,54.90%,17.72,8
BSX,BOSTON SCIENTIFIC CORP COM,"58,688 M",41.185,-1.02%,"1,276,763",57.278,$0.75,-0.78759,53.49,0.77,25.25%,7.11,0
ANET,ARISTA NETWORKS INC COM,"10,149 M",132.1161,0.03%,"746,081",63.943,$10.14,20.42,53.65,2.463,<empty>,18.2,100
ZTS,ZOETIS INC COM CL A,"106,278 M",224.63,1.24%,"317,233",66.966,$2.88,50.579,54.13,4.15,21.41%,16.51,29
ADSK,AUTODESK INC COM,"71,337 M",324.48,-1.84%,"281,082",90.117,$4.05,292.4,54.81,5.92,41.11%,57.25,35
MAA,MID-AMERICA APARTMENT COMMUNIT COM USD0.01,"23,549 M",204.53,0.12%,"66,307",28.314,-$1.34,4.2235,54.83,3.73,18.54%,9.55,4
